epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1864.67,1.37192,1.1259,1.87514,0.89582,0.75676,0.85529,0.45967,1.58332,1.76753,2.24812,0.0011882,0.0011882,0.0011882
43,1908.6,1.39471,1.05745,1.78218,0.59656,0.62162,0.6463,0.30265,1.85485,1.67156,2.4854,0.0011684,0.0011684,0.0011684
44,1953.43,1.42552,1.19971,1.88635,0.92183,0.75676,0.85951,0.52083,1.49333,1.22552,2.08602,0.0011486,0.0011486,0.0011486
45,1998.21,1.31981,1.06942,1.81167,0.92183,0.75676,0.85951,0.52083,1.49333,1.22552,2.08602,0.0011288,0.0011288,0.0011288
46,2042.64,1.25838,1.07585,1.76099,0.96949,0.8591,0.9133,0.59148,1.20844,1.20806,1.81578,0.001109,0.001109,0.001109
47,2087.03,1.25553,1.01212,1.72194,0.93163,0.89189,0.93198,0.5839,1.29189,1.05899,1.89998,0.0010892,0.0010892,0.0010892
48,2132.51,1.36537,1.09462,1.80562,0.93163,0.89189,0.93198,0.5839,1.29189,1.05899,1.89998,0.0010694,0.0010694,0.0010694
49,2177.91,1.18169,1.0151,1.66258,0.92181,0.83784,0.938,0.60701,1.2744,0.95536,1.84771,0.0010496,0.0010496,0.0010496
50,2221.53,1.30352,1.03139,1.75845,0.92181,0.83784,0.938,0.60701,1.2744,0.95536,1.84771,0.0010298,0.0010298,0.0010298
51,2265.43,1.29691,1.02359,1.76129,0.89316,0.94595,0.95564,0.65547,1.24291,0.83236,1.7543,0.00101,0.00101,0.00101
52,2315.52,1.39737,1.09846,1.86223,0.97128,0.91399,0.96334,0.63332,1.2046,0.81376,1.71087,0.0009902,0.0009902,0.0009902
53,2363.72,1.40845,1.21732,1.88961,0.97128,0.91399,0.96334,0.63332,1.2046,0.81376,1.71087,0.0009704,0.0009704,0.0009704
54,2407.89,1.34593,1.18363,1.83366,0.94132,0.94595,0.95636,0.63715,1.28283,0.77854,1.80536,0.0009506,0.0009506,0.0009506
55,2457.53,1.26404,1.04753,1.68481,0.95937,0.97297,0.97142,0.64227,1.3363,0.78949,1.8784,0.0009308,0.0009308,0.0009308
56,2510.65,1.2987,1.14099,1.78105,0.95937,0.97297,0.97142,0.64227,1.3363,0.78949,1.8784,0.000911,0.000911,0.000911
57,2565.18,1.13886,0.90484,1.62515,0.96991,0.97297,0.97573,0.64197,1.37093,0.8517,1.96812,0.0008912,0.0008912,0.0008912
58,2616.34,1.22237,1.00897,1.6019,0.96991,0.97297,0.97573,0.64197,1.37093,0.8517,1.96812,0.0008714,0.0008714,0.0008714
59,2667.88,1.2314,0.99775,1.72116,0.9177,0.97297,0.9724,0.6825,1.23481,0.93539,1.79229,0.0008516,0.0008516,0.0008516
60,2712.59,1.18773,1.03951,1.69361,0.89903,0.96271,0.95316,0.67925,1.16098,0.94615,1.73141,0.0008318,0.0008318,0.0008318
61,2757.98,1.25012,1.00807,1.74354,0.89903,0.96271,0.95316,0.67925,1.16098,0.94615,1.73141,0.000812,0.000812,0.000812
62,2810.96,1.20336,1.0441,1.74366,0.91785,0.97297,0.95638,0.69278,1.13438,0.96031,1.71509,0.0007922,0.0007922,0.0007922
63,2861.44,1.1534,0.92067,1.60944,0.95142,0.94595,0.95949,0.64536,1.29422,0.91971,1.90624,0.0007724,0.0007724,0.0007724
64,2914.25,1.10172,0.87504,1.58138,0.95142,0.94595,0.95949,0.64536,1.29422,0.91971,1.90624,0.0007526,0.0007526,0.0007526
65,2962.24,1.17205,1.05491,1.62181,0.94325,0.97297,0.95951,0.59833,1.41072,0.92244,2.06995,0.0007328,0.0007328,0.0007328
66,3006.26,1.15767,0.96674,1.66955,0.94325,0.97297,0.95951,0.59833,1.41072,0.92244,2.06995,0.000713,0.000713,0.000713
67,3051.53,1.03922,0.99608,1.58172,0.97271,0.96356,0.96209,0.59179,1.39409,0.91762,2.02756,0.0006932,0.0006932,0.0006932
68,3098.75,1.06683,0.89059,1.60384,0.95928,0.91892,0.95889,0.64695,1.30397,0.9047,1.90931,0.0006734,0.0006734,0.0006734
69,3147.44,1.05119,0.86929,1.63695,0.95928,0.91892,0.95889,0.64695,1.30397,0.9047,1.90931,0.0006536,0.0006536,0.0006536
70,3198.97,1.00138,0.88737,1.54784,0.90624,0.94595,0.95942,0.71307,1.19175,0.87591,1.80778,0.0006338,0.0006338,0.0006338
71,3254.24,1.06046,0.92618,1.53923,0.89558,0.97297,0.95459,0.71059,1.18027,0.81716,1.82718,0.000614,0.000614,0.000614
72,3301.46,1.06127,0.78529,1.59341,0.89558,0.97297,0.95459,0.71059,1.18027,0.81716,1.82718,0.0005942,0.0005942,0.0005942
73,3349.91,1.06504,0.89873,1.58734,0.94236,0.97297,0.96076,0.64133,1.28897,0.75725,1.91989,0.0005744,0.0005744,0.0005744
74,3401.7,1.14825,0.94963,1.66607,0.94236,0.97297,0.96076,0.64133,1.28897,0.75725,1.91989,0.0005546,0.0005546,0.0005546
75,3446.79,1.04101,0.91065,1.56018,0.9429,0.97297,0.96949,0.62318,1.41429,0.72894,2.04826,0.0005348,0.0005348,0.0005348
76,3493.9,0.98238,0.76112,1.41403,0.97014,0.97297,0.97828,0.6213,1.44174,0.71545,2.07021,0.000515,0.000515,0.000515
77,3547.05,1.21368,0.9398,1.66069,0.97014,0.97297,0.97828,0.6213,1.44174,0.71545,2.07021,0.0004952,0.0004952,0.0004952
78,3599.43,1.18599,0.89952,1.65498,0.97102,0.97297,0.9822,0.63394,1.40782,0.71734,2.01809,0.0004754,0.0004754,0.0004754
79,3650.17,1.1565,0.96337,1.70762,0.97011,0.97297,0.97411,0.65556,1.38426,0.69697,1.97699,0.0004556,0.0004556,0.0004556
80,3701.52,1.03863,0.87995,1.56975,0.97011,0.97297,0.97411,0.65556,1.38426,0.69697,1.97699,0.0004358,0.0004358,0.0004358
81,3753.48,1.09971,0.90766,1.57848,0.96863,0.97297,0.97332,0.66547,1.31067,0.72278,1.88938,0.000416,0.000416,0.000416
82,3805.54,0.9764,0.80621,1.56044,0.96863,0.97297,0.97332,0.66547,1.31067,0.72278,1.88938,0.0003962,0.0003962,0.0003962
83,3860.02,1.08696,0.88873,1.53236,0.96927,0.97297,0.97326,0.68772,1.24556,0.69805,1.81295,0.0003764,0.0003764,0.0003764
84,3912.61,0.97766,0.78021,1.47678,0.97038,0.97297,0.97186,0.67664,1.2695,0.68877,1.85222,0.0003566,0.0003566,0.0003566
85,3964.89,1.06041,0.81256,1.60459,0.97038,0.97297,0.97186,0.67664,1.2695,0.68877,1.85222,0.0003368,0.0003368,0.0003368
86,4012.37,1.02466,0.75378,1.53464,0.97055,0.97297,0.97099,0.6783,1.28585,0.67162,1.87877,0.000317,0.000317,0.000317
87,4068.04,0.97329,0.83597,1.52247,0.97071,0.97297,0.97225,0.66516,1.30128,0.65043,1.88732,0.0002972,0.0002972,0.0002972
88,4122.15,1.03762,0.86277,1.54086,0.97071,0.97297,0.97225,0.66516,1.30128,0.65043,1.88732,0.0002774,0.0002774,0.0002774
89,4172.12,1.07567,0.90074,1.60652,0.97069,0.97297,0.97387,0.67074,1.27669,0.62145,1.85315,0.0002576,0.0002576,0.0002576
90,4221.77,0.9484,0.75704,1.50774,0.97069,0.97297,0.97387,0.67074,1.27669,0.62145,1.85315,0.0002378,0.0002378,0.0002378
91,4276.73,0.78572,0.78568,1.47821,0.97103,0.97297,0.97384,0.68878,1.23291,0.59093,1.79273,0.000218,0.000218,0.000218
92,4327.47,0.79675,0.84232,1.48937,0.97118,0.97297,0.97362,0.71117,1.17524,0.57335,1.72835,0.0001982,0.0001982,0.0001982
93,4380.32,0.73889,0.65934,1.39334,0.97118,0.97297,0.97362,0.71117,1.17524,0.57335,1.72835,0.0001784,0.0001784,0.0001784
94,4433.51,0.79552,0.72084,1.49812,0.96978,0.97297,0.97346,0.71092,1.14016,0.57189,1.69375,0.0001586,0.0001586,0.0001586
95,4480.35,0.85756,0.78947,1.62049,0.96859,0.97297,0.97336,0.71373,1.12019,0.57437,1.67118,0.0001388,0.0001388,0.0001388
96,4524.07,0.72041,0.63833,1.40131,0.96859,0.97297,0.97336,0.71373,1.12019,0.57437,1.67118,0.000119,0.000119,0.000119
97,4568.65,0.84945,0.63044,1.56307,0.96752,0.97297,0.97381,0.71822,1.10875,0.58734,1.66349,9.92e-05,9.92e-05,9.92e-05
98,4618.98,0.76746,0.64398,1.44731,0.96752,0.97297,0.97381,0.71822,1.10875,0.58734,1.66349,7.94e-05,7.94e-05,7.94e-05
99,4667.75,0.68906,0.63184,1.35839,0.96595,0.97297,0.97376,0.71845,1.09496,0.59144,1.64896,5.96e-05,5.96e-05,5.96e-05
100,4720.21,0.78294,0.6283,1.46017,0.96285,0.97297,0.97374,0.71891,1.08552,0.60059,1.64273,3.98e-05,3.98e-05,3.98e-05
