epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,744.45,1.06997,4.18969,1.81842,0.4724,0.35135,0.23235,0.07187,2.10696,6.02704,3.02705,0.00012,0.00012,0.00012
2,1561.68,1.5783,3.59245,2.1306,0.01136,0.24324,0.00674,0.00105,3.67376,40.5512,9.86933,0.000258713,0.000258713,0.000258713
3,2465.68,2.21977,3.9658,2.65784,0.00012,0.02703,6e-05,1e-05,3.70008,83750.1,30.0262,0.00039604,0.00039604,0.00039604
4,3343.16,2.2032,3.6217,2.65935,0,0,0,0,4.11332,1.62355e+06,811.446,0.000531981,0.000531981,0.000531981
5,4110.46,2.48469,3.83776,3.03639,0,0,0,0,3.50169,4.58862e+06,2740.91,0.000666536,0.000666536,0.000666536
6,4861.01,2.75113,3.56814,3.19444,0,0,0,0,4.12734,4.00353e+06,6504.07,0.000799705,0.000799705,0.000799705
7,5610.85,2.71123,3.19795,3.28633,0,0,0,0,0.00251,6.50142e+08,165.095,0.000931488,0.000931488,0.000931488
8,6332.02,2.72268,3.15672,3.17055,0,0,0,0,0,7.75149e+06,0,0.00106188,0.00106188,0.00106188
9,7023.63,2.73532,2.97259,3.15007,0,0,0,0,4.8112,1.77948e+07,94886.4,0.0011909,0.0011909,0.0011909
10,7838,2.78039,3.15263,3.28428,0,0,0,0,4.42205,807892,45658.9,0.00131852,0.00131852,0.00131852
11,8510.01,3.00614,3.15482,3.28763,0,0,0,0,3.8598,5.76241e+06,161510,0.00144476,0.00144476,0.00144476
12,9161.39,2.63054,2.72657,3.03452,0,0,0,0,5.10275,6.49383e+07,192430,0.00156961,0.00156961,0.00156961
13,9731.74,2.9722,3.09712,3.32717,0,0,0,0,5.10275,6.49383e+07,192430,0.00169308,0.00169308,0.00169308
14,10354.3,2.5133,2.69668,3.03322,0,0,0,0,4.52846,4.11142e+09,2.54598e+08,0.00181516,0.00181516,0.00181516
15,10949.8,2.68202,3.00135,3.07925,0.00209,0.13514,0.00347,0.00045,5.40759,1.21963e+10,2.76012e+09,0.0018614,0.0018614,0.0018614
16,11535.7,2.66754,2.78572,3.19441,0.00209,0.13514,0.00347,0.00045,5.40759,1.21963e+10,2.76012e+09,0.0018515,0.0018515,0.0018515
17,12169.1,2.65028,2.74762,3.26199,0,0,0,0,0,1.91508e+12,0,0.0018416,0.0018416,0.0018416
