epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,72764,2.05526,2.29376,2.49589,0.08692,0.13514,0.02933,0.0063,4.3066,4.40001,4.59015,0.0015644,0.0015644,0.0015644
46,73037.8,2.05686,2.23293,2.52137,0.08692,0.13514,0.02933,0.0063,4.3066,4.40001,4.59015,0.0015545,0.0015545,0.0015545
47,73310.4,2.05782,2.29195,2.45162,0.06697,0.18919,0.03556,0.01064,3.05161,3.67169,3.54165,0.0015446,0.0015446,0.0015446
48,73602.5,1.99317,2.20198,2.4375,0.24875,0.40541,0.20591,0.05402,2.42285,4.27232,3.35677,0.0015347,0.0015347,0.0015347
49,73883.6,2.00494,2.03781,2.43767,0.24875,0.40541,0.20591,0.05402,2.42285,4.27232,3.35677,0.0015248,0.0015248,0.0015248
50,74171.5,2.07642,2.19093,2.51497,0.25491,0.52713,0.3349,0.10287,2.18728,4.70316,3.25888,0.0015149,0.0015149,0.0015149
51,74459.5,1.97227,2.02984,2.38099,0.25491,0.52713,0.3349,0.10287,2.18728,4.70316,3.25888,0.001505,0.001505,0.001505
52,74718.8,1.97611,2.14504,2.48924,0.23667,0.18919,0.1581,0.03153,2.55716,4.08747,3.81577,0.0014951,0.0014951,0.0014951
53,74983.4,2.02583,2.12072,2.44074,0.1575,0.51351,0.17387,0.0516,2.43424,3.12483,3.41257,0.0014852,0.0014852,0.0014852
54,75261.2,2.07462,2.05736,2.38525,0.1575,0.51351,0.17387,0.0516,2.43424,3.12483,3.41257,0.0014753,0.0014753,0.0014753
55,75524,1.899,2.0567,2.28518,0.04548,0.59459,0.03528,0.01239,2.63033,5.63274,3.31009,0.0014654,0.0014654,0.0014654
56,75788.5,1.90483,2.03845,2.44781,0.01456,0.62162,0.01147,0.00427,2.58293,16.6106,3.27668,0.0014555,0.0014555,0.0014555
57,76054.9,1.87398,1.97401,2.24392,0.01456,0.62162,0.01147,0.00427,2.58293,16.6106,3.27668,0.0014456,0.0014456,0.0014456
58,76312.8,1.86579,1.80839,2.22492,0.03784,0.64865,0.03487,0.01094,2.55237,8.2082,3.28085,0.0014357,0.0014357,0.0014357
59,76582.2,1.86128,2.02324,2.22522,0.3388,0.2973,0.22423,0.06055,2.66442,3.18196,3.46615,0.0014258,0.0014258,0.0014258
60,76834.1,1.87685,2.04257,2.29962,0.3388,0.2973,0.22423,0.06055,2.66442,3.18196,3.46615,0.0014159,0.0014159,0.0014159
61,77085.8,1.97281,2.05282,2.33435,0.50053,0.2973,0.36643,0.08833,2.63028,2.92139,3.54007,0.001406,0.001406,0.001406
62,77354.2,1.92956,1.95794,2.35868,0.50053,0.2973,0.36643,0.08833,2.63028,2.92139,3.54007,0.0013961,0.0013961,0.0013961
63,77640.4,2.00577,2.0024,2.41835,0.24029,0.32432,0.21509,0.03607,2.96283,3.72987,4.08204,0.0013862,0.0013862,0.0013862
64,77920.9,1.88488,2.02355,2.2547,0.2156,0.23783,0.11185,0.02072,3.09733,4.04538,4.255,0.0013763,0.0013763,0.0013763
65,78192.8,1.82954,1.96772,2.24844,0.2156,0.23783,0.11185,0.02072,3.09733,4.04538,4.255,0.0013664,0.0013664,0.0013664
66,78445.3,2.14137,2.25622,2.80825,0.19305,0.43243,0.14287,0.03501,2.69346,3.885,3.65517,0.0013565,0.0013565,0.0013565
67,78721.4,1.85135,1.97115,2.29162,0.30163,0.67568,0.31492,0.11126,2.14923,2.30729,2.86302,0.0013466,0.0013466,0.0013466
68,78993.7,1.8816,1.96717,2.285,0.30163,0.67568,0.31492,0.11126,2.14923,2.30729,2.86302,0.0013367,0.0013367,0.0013367
69,79270.3,1.79901,1.95222,2.44241,0.45781,0.51351,0.45599,0.14321,2.15421,2.01609,2.9101,0.0013268,0.0013268,0.0013268
70,79547.9,1.84958,1.97487,2.31583,0.35632,0.54054,0.36656,0.14883,2.12746,2.4307,2.94851,0.0013169,0.0013169,0.0013169
71,79832.5,1.93789,1.89905,2.34523,0.35632,0.54054,0.36656,0.14883,2.12746,2.4307,2.94851,0.001307,0.001307,0.001307
72,80098,1.93877,1.99183,2.44137,0.46388,0.46785,0.42128,0.18369,1.99193,3.18305,2.8712,0.0012971,0.0012971,0.0012971
73,80399.7,1.99271,2.28657,2.41042,0.46388,0.46785,0.42128,0.18369,1.99193,3.18305,2.8712,0.0012872,0.0012872,0.0012872
74,80677.6,1.97399,2.18865,2.44375,0.50378,0.49405,0.39966,0.14875,1.91209,4.1306,2.79823,0.0012773,0.0012773,0.0012773
75,80969.4,1.82235,1.78528,2.27089,0.41503,0.48649,0.36726,0.14299,1.84053,2.94385,2.70634,0.0012674,0.0012674,0.0012674
76,81249.3,1.77703,2.06906,2.15872,0.41503,0.48649,0.36726,0.14299,1.84053,2.94385,2.70634,0.0012575,0.0012575,0.0012575
77,81517.3,1.89577,1.94676,2.27358,0.41332,0.64865,0.48227,0.17487,1.83994,2.0791,2.61705,0.0012476,0.0012476,0.0012476
78,81796.9,1.76887,1.78171,2.13825,0.57086,0.72973,0.65635,0.23777,1.86615,1.83068,2.61236,0.0012377,0.0012377,0.0012377
79,82080,1.83099,1.84262,2.26565,0.57086,0.72973,0.65635,0.23777,1.86615,1.83068,2.61236,0.0012278,0.0012278,0.0012278
80,82375.2,1.79715,1.89119,2.29354,0.53475,0.64865,0.57734,0.2094,1.90668,1.9181,2.68696,0.0012179,0.0012179,0.0012179
81,82653.6,2.17557,2.06494,2.56694,0.53226,0.59459,0.5844,0.1898,1.8817,2.02503,2.64894,0.001208,0.001208,0.001208
82,82940.1,1.99529,2.18233,2.42125,0.53226,0.59459,0.5844,0.1898,1.8817,2.02503,2.64894,0.0011981,0.0011981,0.0011981
83,83204.1,2.07611,2.1206,2.34358,0.65303,0.54054,0.56019,0.23018,1.88512,2.04653,2.55121,0.0011882,0.0011882,0.0011882
84,83487,1.77979,1.75783,2.1562,0.65303,0.54054,0.56019,0.23018,1.88512,2.04653,2.55121,0.0011783,0.0011783,0.0011783
85,83782.2,1.67384,1.7187,2.16696,0.65518,0.71911,0.65514,0.26924,1.92431,2.30676,2.58999,0.0011684,0.0011684,0.0011684
86,84084.6,1.70345,1.74057,2.12077,0.58853,0.73458,0.62044,0.24225,2.02679,2.42529,2.86345,0.0011585,0.0011585,0.0011585
87,84362.4,1.75237,1.74188,2.16289,0.58853,0.73458,0.62044,0.24225,2.02679,2.42529,2.86345,0.0011486,0.0011486,0.0011486
88,84664.9,1.79083,1.82915,2.23283,0.76614,0.7027,0.64265,0.24118,2.1125,2.51063,2.97771,0.0011387,0.0011387,0.0011387
89,84951.1,1.91099,1.78034,2.48947,0.65297,0.67568,0.55001,0.22724,2.12964,2.37144,2.92407,0.0011288,0.0011288,0.0011288
90,85226.9,1.73876,1.65485,2.25105,0.65297,0.67568,0.55001,0.22724,2.12964,2.37144,2.92407,0.0011189,0.0011189,0.0011189
91,85493.3,1.8187,1.78655,2.26495,0.71903,0.72973,0.6486,0.26327,2.0816,1.96577,2.7789,0.001109,0.001109,0.001109
92,85764.2,1.8002,1.90873,2.1922,0.70296,0.70361,0.6412,0.24313,2.20583,1.85298,2.89968,0.0010991,0.0010991,0.0010991
93,86057,1.79579,1.71368,2.25954,0.70296,0.70361,0.6412,0.24313,2.20583,1.85298,2.89968,0.0010892,0.0010892,0.0010892
94,86339.4,1.99423,1.8081,2.43461,0.62747,0.51351,0.50463,0.15229,2.57243,1.96039,3.29507,0.0010793,0.0010793,0.0010793
95,86596,1.99362,1.88789,2.27998,0.62747,0.51351,0.50463,0.15229,2.57243,1.96039,3.29507,0.0010694,0.0010694,0.0010694
96,86860.9,1.72017,1.81701,2.09649,0.47326,0.7027,0.55261,0.15537,2.51116,2.04243,3.19096,0.0010595,0.0010595,0.0010595
